text,marked_labels,id_labels
!,{'Нет смысла'},[19]
(,{'Нет смысла'},[19]
-,{'Нет смысла'},[19]
.,{'Нет смысла'},[19]
...,{'Нет смысла'},[19]
:),{'Нет смысла'},[19]
:[NUM],{'Нет смысла'},[19]
[NUM],{'Нет смысла'},[19]
Бывает долгая доставка,{'Долгая доставка'},[0]
Быстрая доставка,{'Спасибо'},[18]
Быстро,{'Спасибо'},[18]
"Быстро, удобно, доступно",{'Спасибо'},[18]
В последнее время долгая доставка,{'Доставка стала долгой'},[1]
В последнее время очень долгая доставка,{'Доставка стала долгой'},[1]
В последнее время очень долго доставляются заказы,{'Доставка стала долгой'},[1]
В последнее время слишком долгая доставка,{'Доставка стала долгой'},[1]
В целом все не плохо,{'Всё нормально'},[20]
В целом неплохо,{'Всё нормально'},[20]
Время доставки не соответствует,{'Время доставки не соответствует заявленому'},[2]
Время доставки не соответствует действительности,{'Время доставки не соответствует заявленому'},[2]
Все гуд,{'Спасибо'},[18]
Все круто,{'Всё нормально'},[20]
Все норм,{'Спасибо'},[18]
Все нормально,{'Всё нормально'},[20]
Все нравится,{'Спасибо'},[18]
Все ок,{'Спасибо'},[18]
Все отлично,{'Спасибо'},[18]
Все очень дорого,{'Высокие цены'},[12]
Все плохо,{'Всё плохо'},[21]
Все супер,{'Спасибо'},[18]
"Все супер, кроме цен","{'Спасибо', 'Высокие цены'}","[18, 12]"
Все устраивает,{'Всё нормально'},[20]
Все хорошо,{'Спасибо'},[18]
Все хорошо!,{'Спасибо'},[18]
Всего хорошего,{'Нет смысла'},[19]
Всё нормально,{'Всё нормально'},[20]
Всё ок,{'Спасибо'},[18]
Всё отлично,{'Спасибо'},[18]
Всё супер,{'Спасибо'},[18]
Всё хорошо,{'Спасибо'},[18]
"Всё, что думаете о нас",{'Нет смысла'},[19]
Вы лучшие,{'Спасибо'},[18]
Высокие цены,{'Высокие цены'},[12]
Говно,{'Нет смысла'},[19]
Готово,{'Нет смысла'},[19]
Да,{'Нет смысла'},[19]
